node,lat,lon
5416995076,12.6766363,78.6315697
5417921766,12.6776019,78.6075425
5417921768,12.6786905,78.6072582
5417921771,12.6792348,78.606475
5417921774,12.6794755,78.6046913
5417921775,12.6794625,78.6050346
5417921778,12.6798282,78.6052399
5417921779,12.6795671,78.6079797
5417921784,12.6795854,78.6073789
5417921785,12.6798026,78.607395
5417921787,12.680101,78.607631
5417921791,12.6800041,78.6092028
5417921794,12.6794232,78.6100692
5417921799,12.6782195,78.6111018
5417921801,12.6795463,78.6143323
5417921809,12.6778034,78.6115149
5417921811,12.6774397,78.6119252
5417921812,12.6776799,78.6125154
5417921922,12.6377984,78.6035619
5417921924,12.6810016,78.6205298
5417921926,12.6784863,78.6204928
5417921927,12.6787219,78.6198324
5417921929,12.6799675,78.6170402
5417921931,12.6789496,78.6192718
5417921932,12.6782692,78.6189365
5417921933,12.6776856,78.6185852
5417921934,12.6773653,78.6177748
5417921935,12.6780127,78.6174908
5417921938,12.6792008,78.616249
5417921942,12.6753981,78.6174319
5417921943,12.6756131,78.6171931
5417921946,12.6763249,78.6173192
5417921948,12.6763995,78.6185057
5417921951,12.6768509,78.6172655
5417921953,12.6764636,78.6166218
5417921954,12.6757387,78.6165789
5417921956,12.6747252,78.616703
5417921957,12.6749694,78.6164367
5417921959,12.6753516,78.6140639
5417921960,12.6753122,78.6144921
5417921962,12.6742497,78.6147603
5417921963,12.6741765,78.6150956
5417921964,12.6752023,78.6152995
5417921965,12.6752154,78.6152324
5417921968,12.6733098,78.6128214
5417921969,12.6725157,78.6138691
5417921974,12.6760344,78.6181211
5417921975,12.6771727,78.6183706
5417921976,12.6774606,78.6174801
5417921981,12.6769111,78.6153612
5417921982,12.6766206,78.614637
5685084144,12.7505509,78.6738199
6792017318,12.6766121,78.6348031
9586054598,12.6743239,78.619768
9586054599,12.6738912,78.6196056
9586054600,12.6741178,78.6200318
9586054602,12.6765819,78.6226511
9586054606,12.6795683,78.6251718
9586054610,12.6824509,78.6285119
9586182311,12.6621846,78.6105324
9586182312,12.6626058,78.6106758
9586182316,12.6596187,78.6087602
9586210619,12.6594794,78.6086019
9586210625,12.6594696,78.6087022
9586210643,12.689669,78.6329513
9696824254,12.7391933,78.6908273
9696824296,12.7389161,78.690175
10019859304,12.7110436,78.6157803
10019862715,12.7394524,78.7009879
10019879917,12.7170292,78.6395093
10019879925,12.7177686,78.6359578
10019879926,12.7173121,78.6389177
10019879933,12.7217978,78.6407761
10019879937,12.7241457,78.6400218
10019879949,12.7261094,78.6358957
10019879954,12.7272941,78.6354132
10019879958,12.7289982,78.6356905
10019879962,12.7300064,78.6356607
10019879969,12.732246,78.6356912
10019879976,12.7339067,78.6313071
10019879993,12.7413545,78.6320897
10019880023,12.7341931,78.6467934
10019880059,12.7221938,78.6449806
10019880063,12.7361359,78.648054
10019880075,12.7371392,78.6488002
10019880086,12.7389175,78.6503948
10019880119,12.7373711,78.6660673
10019880132,12.7395437,78.6473798
10019880135,12.7382903,78.646769
10019880139,12.7379537,78.645284
10019880141,12.7376738,78.6446442
10019880142,12.7377152,78.6467122
10019880145,12.7375709,78.6452477
10019901263,12.7262862,78.6066437
10019901281,12.7288175,78.6034394
10019901313,12.7278972,78.6153392
10019901323,12.7265078,78.6167811
10019901348,12.7211893,78.6241255
10019901349,12.7241018,78.616624
10019901376,12.7183614,78.6231222
10019908521,12.7393642,78.7028093
10019908526,12.7292481,78.704469
10019908530,12.7289451,78.7058537
10019908546,12.7333941,78.7104698
10019919569,12.6718572,78.6124617
10019919574,12.6714011,78.6111908
10019919576,12.6714261,78.6104568
10019919582,12.6716509,78.6073674
10019919584,12.6706683,78.6072436
10019919586,12.6703186,78.6072095
10019919587,12.6716538,78.6118394
10019919588,12.6720842,78.6118663
10019919589,12.6724404,78.6118904
10019919590,12.6724287,78.6097541
10019919591,12.6724051,78.6074398
10019919592,12.6741488,78.6133392
10019919597,12.6741915,78.6104677
10019919600,12.6741145,78.6092477
10019919602,12.674167,78.608304
10019919603,12.674146,78.6079379
10019919605,12.67241,78.6079202
10019919606,12.6741997,78.611763
10019919611,12.6713908,78.6097565
10019919612,12.6716069,78.6077131
10019924018,12.670099,78.6074471
10019924019,12.6698988,78.6074169
10019924020,12.6695868,78.6074562
10019924021,12.6742007,78.6097612
10019924023,12.6732497,78.6079414
10019924024,12.6732252,78.6086599
10019924025,12.6724173,78.6086419
10019924026,12.6724327,78.6104947
10019971854,12.7547448,78.667838
10019971881,12.754703,78.657303
10019971883,12.7551963,78.6561158
10019971884,12.7553092,78.6557901
10019971894,12.7592511,78.6564973
10019971912,12.7583937,78.6784521
10020047543,12.7302915,78.6768684
10020047566,12.7351121,78.6717777
10020048122,12.6993698,78.6390581
10020048136,12.7013206,78.6347671
10020048143,12.7029959,78.6339803
10020048144,12.704908,78.6302
10020048154,12.7034141,78.6338111
10020048155,12.704546,78.6308569
10020048157,12.7042415,78.6307751
10020048159,12.7039693,78.6306975
10020048160,12.7037869,78.6306399
10020048163,12.7034642,78.6305565
10020048170,12.7015701,78.6305766
10020048171,12.7041546,78.6296832
10020048181,12.6989074,78.6375354
10020051206,12.6384796,78.6635716
10020059824,12.642872,78.6649807
10020059829,12.6433234,78.6634516
10020059857,12.6417786,78.6570324
10020059867,12.6419368,78.6553685
10020059883,12.6433732,78.6513701
10020059884,12.6433741,78.6509953
10020059885,12.6430594,78.6556771
10020122391,12.71227,78.6541277
10020122404,12.7138958,78.6495852
10020140269,12.6946294,78.607277
10020140279,12.6965196,78.6020647
10020140294,12.6964355,78.6026343
10020140298,12.6979078,78.6034293
10020140309,12.6961327,78.6041332
10020144102,12.634516,78.6988899
10020144108,12.6341432,78.6978386
10020156222,12.6524206,78.6687794
10020156227,12.654079,78.6710428
10020156246,12.6614542,78.6633187
10020156249,12.662502,78.662768
10020156261,12.6661491,78.6658727
10020158818,12.6351914,78.6928649
10020158842,12.638342,78.6838427
10020158849,12.6405139,78.682169
10020158858,12.6372156,78.6817331
10020158860,12.6366144,78.6814746
10020158872,12.6336058,78.6837721
